isbn,title,author,description,category,price,language,total_pages,total_chapters,access_period_days
9789389176247,Transfer Pricing in India,OP Yadav,"Transfer Pricing in India: Principles and Practice covers a gamut of issues relating to the implementation of Transfer Pricing provisions in India. The book will be of immense value to tax practitioners, advocates, chartered accountants, income-tax authorities, taxpayers, researchers, students and every person who deals with or practices or is interested in the transfer pricing provisions under the Income-tax Act,1961.Key features- Explains Transfer Pricing provisions, as amended by the Finance Acts, upto the Finance (No.2) Act, 2019 with the help of legislative intent and history- Examines the divergent opinions on TP issues delivered in decisions of appellate tribunals, High Courts and Excerpts from the “OECD-2017- Transfer Pricing Guidelines for Multinational Enterprises and Tax Administrators”- Discusses the manner of application and determination of ALP under various TP methods with the help of illustrations- Analyses the issues relating to computation of total income in consequence to primary and secondary TP adjustments- Includes discussion on specific TP issues related to information technology & technology enables services, financial transactions, intra-group services, cost contribution arrangements and AMP- Explains the provisions on Advance Pricing Agreement (APA) scheme, Mutual Agreement Procedure (MAP), Safe Harbour Rules, Appeals and alternative Dispute Resolution Panel and applicable Forms- Discusses the impact of provisions of the Multilateral Convention to Implement Tax Treaty Related Measures in relation to MAP and corresponding adjustments About the Author:O. P. Yadav, a Post-Graduate in Economics, is an Indian Revenue Service Officer of 1988 Batch. At present he is working as Principal Commissioner of Income-tax.",Tax,1295,English,532,,
9789389176254,Data Protection Laws Demystified,"Anghrija Chakraborty, Ashima Obhan & Amar K Sundram","Data Protection Laws Demystified addresses the issues of privacy and protection of personal data as well as client confidential data, especially brought to the fore by the European Union (EU) General Data Protection Regulation, the new draft of the Indian Data Protection Bill 2018 submitted by the Justice B. N. Srikrishna Committee on personal data protection in India, and other major privacy and personal data protection related legislative developments worldwide. The book aims at answering the myriad questions about applicability of legislation, data ownership, data handling, data security, data subject (an individual’s) rights, and sanctions associated with legal/operational compliance to legislation; which have arisen in the aftermath of global convergence(s), new information technologies, changing business models and practices, evolving social norms, and new & constantly changing legislation. It discusses methods of effectively implementing a comprehensive privacy program that would assist in securing and managing all types of personal data, especially in the context of the corporate sector and the non-profit sectors. Written in a lucid language, FAQs, flowcharts and checklists have been incorporated to elucidate complex concepts and to provide practical guidance. The book will be of value to In-house Counsels and other Functional Heads, Cyber Security and IT Professionals, Corporate Sector, Law firms and Independent Practitioners, Government bodies/organisations, Judiciary, Policy makers and Organisations required to maintain client confidentiality under law i.e. CA firms; Audit Firms; Telecom Companies; E-commerce Companies, Fintech Companies etc.",Law,895,English,286,,
9789389176339,Practical Guide to Prohibition of Benami Property Transactions Act,Sagar Tilak,"About: - Thematic commentary on the Benami Transactions (Prohibition) Act - Examines Benami Act vis-à-vis other Statutes Governing Economic Offences - Incorporates the 2019 Amendments to the Benami Law - Includes 100 FAQs & 10 Advance Case Studies on Benami Law in India - Provides detailed analysis of 10 Important Judicial Precedents- Contains text of relevant Statutes, Rules, Notifications and Reports Advance Praise“…It is very difficult to do justice to such a law and provide a comprehensive and yet lucid commentary which deals with both the fundamental propositions and judicial review and analysis. Sagar Tilak’s book achieves this difficult task and goes further – it provides a fair amount of practical advice through FAQs, illustrations and case studies. A very useful book on a very complex subject.” ~ CA Gautam Doshi, Chartered Accountant ""The book on Benami Law written by CA Sagar Tilak is one of its kind on this legislation. The book gives history and evolution of Benami Law in such a way that the reader easily understands the provisions of Benami Law with complete background of the Benami transactions and the misuse of such Benami ownership. The Law as explained by the author along with a large number of FAQs, Advanced case studies and Judicial Precedents will be an excellent read and a guide for a beginner and senior Practitioners."" ~ Nihar Jambusaria, Sr. VP - Taxation, Reliance IndustriesSagar Tilak is a practicing Chartered Accountant, with over a decade’s experience, specializing in tax advisory, and tax litigation. Sagar has delivered several lectures at seminars and conferences organized by various institutions including Institute of Chartered Accountants of India, Chamber of Tax Consultants, and International Fiscal Association. Sagar was specially invited to deliver a lecture on Benami Law for the Benami Cell of Income Tax Department in 2018.",Law,895,English,456,,
9789389176346,Tax Consolidation - A Global Perspective on Economic Unity,PV Srinivasan,"Tax Consolidation is an expression which eloquently denotes a tax regime that operates on the concept of economic unity of a large corporate group, having several entities (having independent legal personality) but functioning beneath through common control. The tax administration looks at the corporate group as a whole, rather than its fragmentation into separate entities. Tax Consolidation: A Global Perspective on Economic Unity>/b> is spread over twenty-two chapters preceded by an informative overview of the topic including a brief history of its evolution. With a fervent desire to explore the quintessence of tax consolidation, the book navigates through several countries which have already put this regime in place. It further examines its dimensions broadly covering the possibility of participation of entities into the consolidation regime, the tax treatment accorded at the time of entry into consolidation, during its subsistence, the exit of an entity from consolidation, and upon deconsolidation. A very useful jurisdiction-wise comparative analysis with tabular breakdown in the Appendices, will prove to be a convenient quick reference tool for the readers. The book explores a spectrum of policy issues that need consideration before embarking on the tax consolidation regime. It would be a handy reference for practitioners, law and policy makers, economists, and academicians. About the Author P V Srinivasan is a Chartered Accountant by qualification and a Member of ICAI. He is engaged as a corporate advisor, advising leading business houses on global taxation and corporate law matters. He has over 33 years of hands-on experience in manufacturing and information technology industries with regard to corporate tax compliances across tax jurisdictions including the US, Europe, India and Asia-Pacific, Latin America and Africa. He headed the Corporate Tax function at Wipro, Bangalore for over 18 years.",Tax,795,English,286,,
9789389176483,International Taxation in the Digital Era,Parthasarathi Shome,"International Taxation in the Digital Era comprises a selection of research papers presented at ITRAF’s Annual Conference in 2019. Contributed by authors from academia and practicing tax professionals, the volume is divided into two parts focusing on the digital economy, its form and taxation; and taxation of capital and its avoidance. Parthasarathi Shome is Chairman, ITRAF, Bengaluru, and Senior Visiting Fellow, London School of Economics. He was the Adviser (Minister of State) to the Finance Minister of India and Chairman of the Tax Administration Reform Commission (TARC). Contributors Judith Freedman Professor, Oxford University Dr Parthasarathi Shome Chairman, ITRAF Shikha Mehra Co-founder, MainChain Research & Consulting Dr Rohit Roy Assistant Professor of Law, Christ (Deemed) University Alok Prasanna Kumar Senior Resident Fellow and Team Lead, Vidhi Centre for Legal Policy Vinti Agarwal Research Fellow, Tax Law Vertical, Vidhi Centre for Legal Policy Krupa Venkatesh Chief Catalyst-Tax and Technology, Consark Advisory PVSS Prasad Partner, Prasad & Prasad, Chartered Accountants Saurav Bhattacharya Executive Director, PwC India Professor (Dr) Nigam Nuggehalli Dean, School of Law, BML Munjal University Mukesh Butani Managing Partner, BMR Legal Ashrita Prasad Kotha Doctoral Candidate Research and Teaching Associate, WU, Vienna S Krishnan International Tax Professional K R Girish Founder, KR Girish & Associates",Tax,995,English,256,,
9789389176490,Taxation of Digital Economy,K Vaitheeswaran,"Digital Economy from being a mere extension of the brick and mortar space, has evolved into a full-fledged, vibrant economic space where goods and services are transacted digitally without the need for physical presence. Identifying the inadequacy of existing framework in addressing the challenges in taxing the digital economy, the OECD has highlighted three key characteristics of the digital economy, namely, scale without mass, intangibles and the role of data and user participation. Taxation of Digital Economy addresses this dilemma in an authoritative manner. The author captures the entire canvas of the digital economy and discusses in great detail its functioning and various aspects encompassing e-commerce, digital payments, virtual showrooms, virtual currencies, AI, big data, and data analytics. The author brings out tax challenges by providing an in-depth analysis of how the revenue generation activity takes place across the jurisdictions, the associated issue of establishing a PE and the relevance of a virtual and digital PE in the context of taxing rights. The concepts and implications of SEP, OIDAR services, export of services, reverse charge mechanism, and Equalisation Levy, in the context of the digital economy, have been described with insightful Indian and International case law. The chapters on Digital Taxes - International Experience, Unified Approach, and Possible Solutions throw light on the evolving course of action in this space. The book will be of value to lawyers, judges, chartered accountants, tax professionals, technocrats, policy-makers, students & members of the public.",Tax,950,English,354,,
9789389176544,The Global Indians and The Law,Anil Malhotra Ranjit Malhotra,"The Global Indians and the Law is a commentary on private international law in the exclusive Indian context attempts to provide comprehensive answers to the problems of the Indian diaspora and the global transnational Indian which may not find a solution in conventional statutory laws. The publication aims to be a comprehensive commentary for Courts abroad, an aggrieved spouse, a foreign litigant, an overseas practitioner, or any lay person who simply wants to know where they stand. A compilation of case law, enunciated by the vibrant Indian judiciary rendering a yeoman service, has been quoted for reliance. Unique case references fill in the statutory void in this ocean of ails. This unique reader-friendly, concise and crisp presentation in 7 individual Parts as expositions pose the problems and attempt to provide their answers. The authors with their years of expertise have aimed to project these problems as they have experienced them professionally. References to case law wherever necessary have been provided for the professional reader who wants an accurate and expeditious run-down on Indian law on the subject of custom, marriage, divorce, spousal maintenance, domestic and inter-country adoptions, child abduction, surrogacy, child rights, matrimonial settlements, succession and inheritance, besides issues of nationality and citizenship. About the Author: Anil Malhotra is a practising Advocate based at Chandigarh, India since September 1983. Ranjit Malhotra was the first Indian Lawyer to be awarded the prestigious Felix Scholarship to read for the LLM Degree at the SOAS, University of London.",Law,1695,English,872,,
9789389176704,Constitution and its Making,N Vijiayaraghavan,"Constitution and its Making takes a peek into the history of the making of the Indian Constitution, on its 71st birthday. While in the USA, their Founders are revered as demigods and tomes have piled up over 2 centuries and continue to, in India, our Constituent Assembly, its members- 299 of them- and the Debates- over 3 years- they had engaged in, have largely ‘remained in wraps’, to the ordinary folks, as Justice V R Krishna Iyer put it. With intent to catch the laymen along with the lawmen, the author has gone anecdotal, with nuggets and vignettes of rare and unknown vintage. How many of us know that it was Prem Behari Narain Raizada, Delhi who hand wrote the two copies of Constitution in English and Hindi; and he laid two conditions to Jawaharlal Nehru, who approached him: he would affix his signature at the end of each page and on the last pages of the two copies, he would write his grandfather’s name, in obeisance, for it was he who brought him up, after Raizada was orphaned early. While ours has 395 Articles and has undergone 103 amendments in 70 years, and is the longest, the US’ has 7 Articles and has undergone just 27 amendments in over 233 years. Nandalal Bose and his Shanthiniketan team had illuminated the 2 copies with 22 illustrations on India’s 4000 plus years old civilisational journey. And so many more fascinating facts of delightful melody. The author has brought to light the stellar contributions of select members of the Constituent Assembly- particularly, the inspiring role of women members, hitherto unfocused. And why the Constituent Assembly debates matter and how they may need to be read. About the Author N Vijayaraghavan is a practising Advocate, Madras High Court, with over 3 decades of experience. He has authored several books on motor & marine insurance and has been a resource person with TN Judicial Academy and the National Judicial Academy, Bhopal.",Law,495,English,236,,
9789389176711,Mediation - Policy & Practice,Chitra Narayan,"India has seen a steady growth in policies on mediation – starting with the Arbitration and Conciliation Act, 1996, the amendments to the Civil Procedure Code for reference of pending civil cases to mediation, and more recently a mandate that parties attempt to resolve their disputes through mediation before filing cases relating to commercial disputes under the Commercial Courts Act. Mediation - Policy and Practice examines the many aspects and benefits of mediation as an appropriate dispute resolution process in India. The book evaluates the use of mediation in dispute verticals, such as commercial disputes, matrimonial disputes, government disputes, disputes in insolvency resolution and intellectual property disputes, as well as the Singapore Convention on the enforcement of international commercial settlement agreements arising from mediation that recently came into force. It examines the concerns that arise in the policies and practice of mediation in India, and compares policies and important judgments of other countries on these issues. With the push for mediation as an integral part of the dispute resolution eco-system in India, and the establishment of new structures and intermediaries for dispute resolution, this book will be useful for practitioners of law, the academia, mediators, policy-makers and students of law, and for anyone concerned with effective resolution of disputes. About The Author: Chitra Narayan is a lawyer and mediator with over 25 years of experience. She is a founding Trustee of Foundation for Comprehensive Dispute Resolution (FCDR), Chennai, an initiative to mainstream mediation and provide mediation and conciliation services. She is an accredited mediator with the Tamil Nadu Mediation and Conciliation Centre, annexed to the Madras High Court.",Law,995,English,516,,
9788194991151,Rethinking Palkhivala,Maj. Gen. Nilendra Kumar,"Rethinking Palkhivala – Centenary Commemorative Volume has been conceptualised under the guidance of its Editor, Major General Nilendra Kumar, with the aim to celebrate the legend Nani A Palkhivala and his legacy & lessons for the next century. This volume chronicles the year-long Birth Centenary Celebrations organized by Lex Consilium Foundation in honour of the late Mr Palkhivala. Through the lectures, panel discussions, debates, quizzes, and articles comprising this volume, readers will find that the words and thoughts of Mr Palkhivala are still relevant and provide guidance on the myriad contemporary issues and topics covered. This volume also aims to explore the diverse roles that Mr Palkhivala has played and his lasting impact on the landscape of Indian polity as a lawyer, an activist, a diplomat, and a jurist. The influence that Mr Palkhivala has had on the Indian Constitution through his interpretative skills, especially the Basic Structure Doctrine has left an indelible mark on the political and legal fabric of this country. The anecdotes and personal experiences shared by the contributors through the events that were organized as part of the Birth Centenary Celebrations are also included in this volume and will reveal the person Nani Palkhivala beyond his public image. This volume will be of value to law practitioners, tax professionals, judges, jurists, diplomats, academicians, policy makers, students of law and any person inclined to read about the Indian constitution. About the Author:Major General Nilendra Kumar has over 50 years of experience of working extensively across the legal space- from the government to educational institutions; international non-government agencies and corporates. He was awarded Ati Vishisht Seva Medal and Vishisht Seva Medal for his contributions as Judge Advocate General of the Indian Army, where he served for 28 years.",Law,995,English,364,,
9788194991106,Commentary on the Motor Vehicles Act,K Kannan,"Commentary on the Motor Vehicles Act provides a section-wise analysis on the Motor Vehicles Act, 1988 incorporating the impact of the Amendment Act of 2019. The book critically evaluates the working of the Act and its implementation by various stakeholders including adjudicating authorities, insurance companies, and enforcement agencies. The book aims to explain the provisions of the Act in a lucid manner by giving legislative history, judicial pronouncements, and the author’s interpretation. The author has also drawn a parallel with the erstwhile 1939 Act, wherever it offers valuable insights into the rationale and the genesis of the provisions in the 1988 Act. While presenting the definitive position of law drawing on Supreme Court and High Court judgments, the author also expresses his own view on some of these decisions which differs from the interpretation adopted by the court. The book captures the new concept of ‘aggregator’, a digital intermediary for a passenger to connect with a driver for the purpose of transportation and the Central Aggregator Guidelines. The author also discusses the ills that continue to plague the system such as fake licenses, poor performance of insurance companies in claim settlements, and fake claims and also recommends use of technology and other methods to address these concerns. The commentary will be useful to policy makers, judges, lawyers, enforcement agencies, academicians, and law students. The insurance industry will also find the book to be of interest to them especially in promoting the cause of settlements. About the Author: K Kannan is a former judge of the Punjab and Haryana High Court and after his superannuation from Judicial Service in June 2016, served as Chairman of the Railway Claims Tribunal (RCT) at the Principal Bench at New Delhi, India which post he held till June 2019.",Law,1495,English,892,,
9788194991120,Justice M N Venkatachaliah - The Man & The Judge,V Sudhish Pai,"Key Features (i) Biography of the 25th Chief Justice of India, Justice M N Venkatachaliah.(ii) Presents journey and evolution of the man who became a revered judge, whose legacy will continue to inspire generations to come.(iii) The book contains- (a) a comprehensive biographical sketch of Justice Venkatachaliah; - (b) editorial notes on most of his reported judgments in the Supreme Court and the High Court, and-(c) Select speeches and writings",Law,995,English,612,,
9788194991175,Reimagining International Taxation,Parthasarathi Shome,"Key Features (i) Perspective and opinions on challenges in international taxation and the need for reform. (ii) Covers wide range of topics including: -(a) tax considerations arising out of the global pandemic; -(b)international tax regime and global power shifts; -(c) the need for a new international tax architecture; -(d) ramifications of retrospective taxation; -(e) international consensus in matters of profit attribution, digital taxation,cryptocurrency, and source and nexus of income; and -(f) taxpayers’ charter. (iii) An international volume with contributions from tax experts and academicis from India, Argentina, UK, and Netherlands. (iv) Conceptualized and developed by ITRAF.",Tax,1050,English,346,,
